epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2112.85,1.13879,5.61668,0.44993,1.02434,1.28102,0.77825,0.78182,0.76091,0.47032,0.42913,0.44545,0.26378,0.0901,1.35688,5.02335,0.46915,0.92743,1.4746,0.0003566,0.0003566,0.0003566
85,2129.44,1.15227,5.41105,0.44012,0.9977,1.26629,0.80306,0.77848,0.76985,0.47744,0.47614,0.46272,0.29099,0.09504,1.37893,5.05054,0.48084,0.94216,1.45784,0.0003368,0.0003368,0.0003368
86,2146.4,1.16621,5.95142,0.46699,1.00703,1.2833,0.79631,0.78189,0.77318,0.46588,0.44419,0.45455,0.25011,0.08702,1.39625,5.01616,0.49063,0.93012,1.47655,0.000317,0.000317,0.000317
87,2163.55,1.18117,5.43813,0.44488,1.01014,1.28369,0.81021,0.74545,0.79222,0.47704,0.43755,0.48182,0.27881,0.0961,1.37604,4.96932,0.49378,0.93645,1.45303,0.0002972,0.0002972,0.0002972
88,2180.88,1.12397,5.58584,0.44011,1.04112,1.2741,0.83812,0.76364,0.8027,0.47021,0.43212,0.46364,0.25428,0.08573,1.39193,4.99094,0.49185,0.91656,1.47311,0.0002774,0.0002774,0.0002774
89,2198.29,1.15435,5.58347,0.43851,1.0101,1.29285,0.78375,0.78182,0.80055,0.46278,0.41853,0.46364,0.2504,0.08953,1.38493,4.95167,0.47353,0.94081,1.47274,0.0002576,0.0002576,0.0002576
90,2215.81,1.11801,5.45383,0.44601,0.98165,1.27852,0.81311,0.75152,0.77242,0.47654,0.43468,0.46835,0.26285,0.1025,1.39921,4.94039,0.47068,0.95463,1.47735,0.0002378,0.0002378,0.0002378
91,2232.68,1.01482,5.16594,0.4626,0.90505,1.20986,0.76504,0.79922,0.77053,0.45419,0.45478,0.43636,0.27169,0.09971,1.38211,4.95182,0.46573,0.95095,1.48427,0.000218,0.000218,0.000218
92,2249.87,0.98009,5.13603,0.46283,0.83363,1.19356,0.81453,0.76364,0.77313,0.45617,0.46176,0.50909,0.3027,0.09962,1.39459,4.92755,0.46118,0.95925,1.48648,0.0001982,0.0001982,0.0001982
93,2266.68,0.9657,5.04791,0.45683,0.79546,1.17826,0.78735,0.80786,0.77508,0.46021,0.4339,0.44545,0.24822,0.08527,1.37762,4.88847,0.46209,0.94764,1.46698,0.0001784,0.0001784,0.0001784
94,2284.02,0.93534,4.81577,0.44905,0.77072,1.15719,0.7869,0.80567,0.77574,0.4561,0.42788,0.43636,0.24245,0.08365,1.37015,4.90924,0.46901,0.96259,1.4512,0.0001586,0.0001586,0.0001586
95,2301.2,0.94824,5.03782,0.45537,0.73764,1.17287,0.79813,0.79076,0.78034,0.46979,0.43491,0.43636,0.27225,0.09447,1.36679,4.86623,0.46247,0.95096,1.45313,0.0001388,0.0001388,0.0001388
96,2318.11,0.95401,4.98274,0.44923,0.75461,1.17926,0.79493,0.7753,0.78074,0.46928,0.4535,0.44545,0.28514,0.09292,1.36377,4.8187,0.45937,0.94192,1.4385,0.000119,0.000119,0.000119
97,2335.18,0.94436,4.81779,0.44221,0.73856,1.1709,0.7988,0.75797,0.78206,0.47429,0.51223,0.47273,0.32457,0.09847,1.363,4.79581,0.46296,0.95443,1.42833,9.92e-05,9.92e-05,9.92e-05
98,2352.22,0.92605,4.80733,0.44148,0.70032,1.13779,0.82207,0.76364,0.77787,0.47403,0.52823,0.49091,0.34457,0.1055,1.36314,4.73895,0.466,0.94797,1.42814,7.94e-05,7.94e-05,7.94e-05
99,2369.65,0.95807,4.87962,0.45078,0.76412,1.18759,0.79444,0.76364,0.77487,0.463,0.47532,0.45455,0.29908,0.10352,1.37702,4.7221,0.46495,0.95737,1.45059,5.96e-05,5.96e-05,5.96e-05
100,2386.82,0.93436,4.84713,0.43752,0.73793,1.16596,0.77878,0.78182,0.7808,0.46639,0.47682,0.47273,0.30976,0.1038,1.37863,4.7169,0.46421,0.9412,1.45395,3.98e-05,3.98e-05,3.98e-05
